scale,dataset_id,experiment_label,method,feature_groups,feature_count,contamination,evaluation_mode,split_label,test_total,test_positive,test_negative,tp,fp,tn,fn,precision,recall,f1_score,accuracy,roc_auc,pr_auc
"medium_real (5,000 accounts)",ddbaab44-78b6-41be-a8fb-e83dfec66358,E0_graph_baseline,"Statistical (z-score, no ML)",graph,6,,held_out,research-split,1500,6,1494,2,130,1364,4,0.0152,0.3333,0.0291,0.9107,0.8144,0.1891
"medium_real (5,000 accounts)",ddbaab44-78b6-41be-a8fb-e83dfec66358,E1_graph_ml,Isolation Forest,graph,6,0.004,held_out,research-split,1500,6,1494,1,9,1485,5,0.1,0.1667,0.125,0.9907,0.8393,0.0597
"medium_real (5,000 accounts)",ddbaab44-78b6-41be-a8fb-e83dfec66358,E2_graph_behavioral_ml,Isolation Forest,graph+behavioral,14,0.004,held_out,research-split,1500,6,1494,1,5,1489,5,0.1667,0.1667,0.1667,0.9933,0.804,0.1854
"medium_real (5,000 accounts)",ddbaab44-78b6-41be-a8fb-e83dfec66358,E3_graph_temporal_ml,Isolation Forest,graph+temporal,11,0.004,held_out,research-split,1500,6,1494,1,3,1491,5,0.25,0.1667,0.2,0.9947,0.8086,0.1955
"medium_real (5,000 accounts)",ddbaab44-78b6-41be-a8fb-e83dfec66358,E4_full_graphfin,Isolation Forest,graph+behavioral+temporal,19,0.004,held_out,research-split,1500,6,1494,1,6,1488,5,0.1429,0.1667,0.1539,0.9927,0.8023,0.1969
"large_real (49,992 accounts)",03fb9ab0-4f42-4404-9d76-723fd4d8753e,E0_graph_baseline,"Statistical (z-score, no ML)",graph,6,,held_out,research-split,14998,75,14923,9,535,14388,66,0.0165,0.12,0.029,0.9599,0.682,0.0122
"large_real (49,992 accounts)",03fb9ab0-4f42-4404-9d76-723fd4d8753e,E1_graph_ml,Isolation Forest,graph,6,0.005,held_out,research-split,14998,75,14923,2,69,14854,73,0.0282,0.0267,0.0274,0.9905,0.7054,0.0159
"large_real (49,992 accounts)",03fb9ab0-4f42-4404-9d76-723fd4d8753e,E2_graph_behavioral_ml,Isolation Forest,graph+behavioral,14,0.005,held_out,research-split,14998,75,14923,1,82,14841,74,0.012,0.0133,0.0126,0.9896,0.7206,0.017
"large_real (49,992 accounts)",03fb9ab0-4f42-4404-9d76-723fd4d8753e,E3_graph_temporal_ml,Isolation Forest,graph+temporal,11,0.005,held_out,research-split,14998,75,14923,1,74,14849,74,0.0133,0.0133,0.0133,0.9901,0.6837,0.0116
"large_real (49,992 accounts)",03fb9ab0-4f42-4404-9d76-723fd4d8753e,E4_full_graphfin,Isolation Forest,graph+behavioral+temporal,19,0.005,held_out,research-split,14998,75,14923,1,82,14841,74,0.012,0.0133,0.0126,0.9896,0.71,0.0136
