scale,dataset_id,experiment_label,feature_groups,feature_count,contamination,num_seeds,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,f1_mean,f1_std,prec_mean,prec_std,rec_mean,rec_std,test_pos_counts
"medium_real (5,000 accounts)",ddbaab44-78b6-41be-a8fb-e83dfec66358,E0_graph_baseline,graph,6,,6,0.7761,0.0576,0.675,0.8144,0.0966,0.093,0.0066,0.1891,0.0202,0.0109,0.0107,0.0057,0.1944,0.1254,"[6, 6, 6, 6, 6, 6]"
"medium_real (5,000 accounts)",ddbaab44-78b6-41be-a8fb-e83dfec66358,E1_graph_ml,graph,6,0.004,6,0.7454,0.0962,0.5889,0.8393,0.0305,0.0246,0.0055,0.0597,0.0613,0.0685,0.0494,0.0567,0.0833,0.0913,"[6, 6, 6, 6, 6, 6]"
"medium_real (5,000 accounts)",ddbaab44-78b6-41be-a8fb-e83dfec66358,E2_graph_behavioral_ml,graph+behavioral,14,0.004,6,0.7281,0.0937,0.5819,0.8307,0.0544,0.069,0.0055,0.1854,0.0628,0.0746,0.0546,0.0703,0.0833,0.0913,"[6, 6, 6, 6, 6, 6]"
"medium_real (5,000 accounts)",ddbaab44-78b6-41be-a8fb-e83dfec66358,E3_graph_temporal_ml,graph+temporal,11,0.004,6,0.7345,0.0769,0.618,0.8096,0.0649,0.0742,0.0083,0.1955,0.0796,0.0917,0.0833,0.1054,0.0833,0.0913,"[6, 6, 6, 6, 6, 6]"
"medium_real (5,000 accounts)",ddbaab44-78b6-41be-a8fb-e83dfec66358,E4_full_graphfin,graph+behavioral+temporal,19,0.004,6,0.7297,0.0966,0.5867,0.843,0.0826,0.0882,0.0061,0.1969,0.0618,0.073,0.0526,0.0659,0.0833,0.0913,"[6, 6, 6, 6, 6, 6]"
"large_real (49,992 accounts)",03fb9ab0-4f42-4404-9d76-723fd4d8753e,E0_graph_baseline,graph,6,,6,0.6964,0.0363,0.6526,0.7517,0.0224,0.0145,0.01,0.041,0.0225,0.005,0.0125,0.003,0.1289,0.0496,"[75, 75, 75, 75, 75, 75]"
"large_real (49,992 accounts)",03fb9ab0-4f42-4404-9d76-723fd4d8753e,E1_graph_ml,graph,6,0.005,6,0.6707,0.0372,0.6298,0.711,0.0202,0.0104,0.0102,0.038,0.0234,0.0189,0.0249,0.02,0.0222,0.0182,"[75, 75, 75, 75, 75, 75]"
"large_real (49,992 accounts)",03fb9ab0-4f42-4404-9d76-723fd4d8753e,E2_graph_behavioral_ml,graph+behavioral,14,0.005,6,0.6759,0.0364,0.6353,0.7206,0.0212,0.0106,0.0093,0.0352,0.0189,0.0176,0.0203,0.0193,0.0178,0.0162,"[75, 75, 75, 75, 75, 75]"
"large_real (49,992 accounts)",03fb9ab0-4f42-4404-9d76-723fd4d8753e,E3_graph_temporal_ml,graph+temporal,11,0.005,6,0.6612,0.034,0.6256,0.7082,0.0167,0.0076,0.0083,0.0277,0.0233,0.0172,0.0228,0.016,0.0244,0.0196,"[75, 75, 75, 75, 75, 75]"
"large_real (49,992 accounts)",03fb9ab0-4f42-4404-9d76-723fd4d8753e,E4_full_graphfin,graph+behavioral+temporal,19,0.005,6,0.6755,0.0431,0.6319,0.7413,0.0176,0.0077,0.0088,0.0289,0.0184,0.0142,0.0192,0.0148,0.0178,0.0138,"[75, 75, 75, 75, 75, 75]"
