transaction_id,sender_id,receiver_id,amount,timestamp
TXN001,ACC001,ACC002,1200.5,2026-03-01 09:15:00+00:00
TXN002,ACC002,ACC003,450.0,2026-03-01 10:20:00+00:00
TXN003,ACC001,ACC004,875.25,2026-03-01 11:05:00+00:00
TXN004,ACC004,ACC005,320.0,2026-03-01 12:10:00+00:00
TXN005,ACC003,ACC006,1500.0,2026-03-01 13:45:00+00:00
TXN006,ACC002,ACC004,620.75,2026-03-01 15:30:00+00:00
TXN007,ACC006,ACC007,2100.0,2026-03-02 08:40:00+00:00
TXN008,ACC001,ACC003,950.0,2026-03-02 09:25:00+00:00
TXN009,ACC005,ACC002,275.5,2026-03-02 10:15:00+00:00
TXN010,ACC003,ACC008,780.0,2026-03-02 11:50:00+00:00
TXN011,ACC008,ACC009,340.0,2026-03-02 13:20:00+00:00
TXN012,ACC009,ACC010,560.0,2026-03-02 14:10:00+00:00
TXN013,ACC004,ACC006,1250.0,2026-03-03 08:30:00+00:00
TXN014,ACC006,ACC011,890.0,2026-03-03 09:45:00+00:00
TXN015,ACC002,ACC007,430.25,2026-03-03 11:00:00+00:00
TXN016,ACC007,ACC012,3100.0,2026-03-03 12:35:00+00:00
TXN017,ACC012,ACC013,2900.0,2026-03-03 13:05:00+00:00
TXN018,ACC013,ACC014,2750.0,2026-03-03 13:40:00+00:00
TXN019,ACC014,ACC015,2600.0,2026-03-03 14:15:00+00:00
TXN020,ACC015,ACC001,2400.0,2026-03-03 14:50:00+00:00
TXN021,ACC007,ACC009,1850.0,2026-03-04 09:10:00+00:00
TXN022,ACC009,ACC011,1950.0,2026-03-04 09:20:00+00:00
TXN023,ACC011,ACC013,2050.0,2026-03-04 09:30:00+00:00
TXN024,ACC003,ACC010,510.0,2026-03-04 15:45:00+00:00
TXN025,ACC010,ACC005,480.0,2026-03-05 10:05:00+00:00
TXN026,ACC016,ACC017,15000.0,2026-03-05 10:10:00+00:00
TXN027,ACC016,ACC018,14500.0,2026-03-05 10:12:00+00:00
TXN028,ACC016,ACC019,15250.0,2026-03-05 10:14:00+00:00
TXN029,ACC019,ACC020,14800.0,2026-03-05 10:18:00+00:00
TXN030,ACC020,ACC021,14950.0,2026-03-05 10:22:00+00:00
